Date,Open,High,Low,Close,Adj Close,Volume
2017-12-11,5.420000,5.540000,5.400000,5.430000,3.730829,13536200
2017-12-12,5.380000,5.470000,5.290000,5.470000,3.758311,12070700
2017-12-13,5.520000,5.540000,5.320000,5.370000,3.689604,17296200
2017-12-14,5.250000,5.540000,5.250000,5.530000,3.799536,16426800
2017-12-15,5.510000,5.730000,5.480000,5.730000,3.936952,33771600
2017-12-18,5.790000,5.820000,5.540000,5.540000,3.806408,15079100
2017-12-19,5.500000,5.620000,5.460000,5.570000,3.827019,10655100
2017-12-20,5.610000,5.800000,5.610000,5.710000,3.923210,13662800
2017-12-21,5.720000,5.790000,5.650000,5.730000,3.936952,10137400
2017-12-22,5.720000,5.790000,5.690000,5.720000,3.930080,5973800
2017-12-25,5.720000,5.720000,5.720000,5.720000,3.930080,0
2017-12-26,5.710000,5.860000,5.680000,5.850000,4.019401,7790900
2017-12-27,5.850000,5.900000,5.770000,5.800000,3.985047,8958300
2017-12-28,5.810000,5.850000,5.760000,5.790000,3.978176,5553900
2017-12-29,5.790000,5.790000,5.790000,5.790000,3.978176,0
2018-01-02,5.830000,6.120000,5.830000,6.050000,4.156816,19573400
2018-01-03,6.080000,6.170000,6.000000,6.030000,4.143075,18650400
2018-01-04,6.080000,6.320000,6.080000,6.250000,4.294232,25449900
2018-01-05,6.280000,6.370000,6.160000,6.270000,4.307972,14143800
2018-01-08,6.270000,6.360000,6.210000,6.350000,4.362940,11728400
2018-01-09,6.360000,6.450000,6.290000,6.340000,4.356068,21606300
2018-01-10,6.290000,6.410000,6.220000,6.360000,4.369811,19956000
2018-01-11,6.400000,6.720000,6.380000,6.680000,4.589675,24755800
2018-01-12,6.560000,6.990000,6.520000,6.850000,4.706478,37334700
2018-01-15,6.990000,7.020000,6.820000,6.820000,4.685866,22725100
2018-01-16,6.790000,6.940000,6.670000,6.670000,4.582804,19953100
2018-01-17,6.720000,6.930000,6.630000,6.920000,4.754573,22502400
2018-01-18,6.980000,6.990000,6.750000,6.820000,4.685866,17501500
2018-01-19,6.900000,6.920000,6.470000,6.570000,4.514097,35517400
2018-01-22,6.570000,6.680000,6.520000,6.620000,4.548450,10811500
2018-01-23,6.590000,6.590000,6.310000,6.410000,4.404164,15214800
2018-01-24,6.490000,6.750000,6.470000,6.720000,4.617157,23023400
2018-01-25,6.720000,6.720000,6.720000,6.720000,4.617157,0
2018-01-26,6.810000,6.920000,6.570000,6.870000,4.720220,27290000
2018-01-29,6.800000,6.970000,6.680000,6.730000,4.624028,22493500
2018-01-30,6.690000,6.880000,6.660000,6.830000,4.692736,17272600
2018-01-31,6.920000,7.170000,6.840000,6.880000,4.727090,29927500
2018-02-01,6.940000,7.020000,6.880000,6.960000,4.782056,16168300
2018-02-02,6.880000,7.020000,6.810000,6.950000,4.775186,17952300
2018-02-05,6.900000,6.920000,6.590000,6.590000,4.527838,14747900
2018-02-06,6.470000,6.810000,6.430000,6.750000,4.637771,23611500
2018-02-07,6.740000,6.880000,6.620000,6.670000,4.582804,17328200
2018-02-08,6.720000,6.790000,6.510000,6.550000,4.500355,22145200
2018-02-09,6.640000,6.700000,6.420000,6.620000,4.548450,15293600
2018-02-14,6.700000,6.920000,6.700000,6.860000,4.713349,14372900
2018-02-15,7.010000,7.100000,6.900000,7.040000,4.837023,20069000
2018-02-16,7.010000,7.500000,7.010000,7.440000,5.111853,28269500
2018-02-19,7.590000,7.850000,7.520000,7.770000,5.338589,20408300
2018-02-20,7.700000,7.830000,7.560000,7.630000,5.242399,22379700
2018-02-21,7.690000,8.000000,7.690000,7.840000,5.386684,21257300
2018-02-22,7.910000,7.980000,7.750000,7.820000,5.372943,14830800
2018-02-23,7.870000,7.920000,7.700000,7.910000,5.434779,15878500
2018-02-26,8.060000,8.430000,8.060000,8.190000,5.627162,21528100
2018-02-27,8.220000,8.270000,7.950000,8.000000,5.496616,17473800
2018-02-28,8.100000,8.230000,7.880000,7.880000,5.414167,24181800
2018-03-01,7.990000,8.170000,7.890000,7.980000,5.482876,33218800
2018-03-02,7.880000,8.020000,7.450000,7.790000,5.352331,33031900
2018-03-05,7.660000,8.030000,7.590000,7.900000,5.427909,21343400
2018-03-06,8.000000,8.130000,7.600000,7.650000,5.256140,21687700
2018-03-07,7.730000,7.820000,7.470000,7.810000,5.366073,18389600
2018-03-08,7.870000,7.870000,7.500000,7.610000,5.228657,20309400
2018-03-09,7.520000,7.740000,7.340000,7.570000,5.201173,19808700
2018-03-12,7.600000,7.720000,7.600000,7.660000,5.263011,9834300
2018-03-13,7.720000,7.820000,7.620000,7.620000,5.235527,12039700
2018-03-14,7.760000,7.780000,7.530000,7.640000,5.249269,10929600
2018-03-15,7.580000,7.580000,7.330000,7.430000,5.104983,19386000
2018-03-16,7.450000,7.570000,7.310000,7.390000,5.077499,23487600
2018-03-19,7.300000,7.370000,7.140000,7.170000,4.926344,14671100
2018-03-20,7.240000,7.460000,7.150000,7.420000,5.098112,14823700
2018-03-21,7.490000,7.500000,7.360000,7.490000,5.146207,9448400
2018-03-22,7.410000,7.470000,7.170000,7.230000,4.967568,14832800
2018-03-23,7.150000,7.260000,7.080000,7.100000,4.878247,13138000
2018-03-26,7.200000,7.250000,7.000000,7.040000,4.837023,13444700
2018-03-27,7.090000,7.130000,6.820000,6.880000,4.727090,14193900
2018-03-28,6.900000,6.920000,6.620000,6.890000,4.733961,14021300
2018-03-29,7.010000,7.200000,6.930000,7.140000,4.905730,11111300
2018-04-02,7.180000,7.280000,7.050000,7.160000,4.919471,10428900
2018-04-03,7.230000,7.260000,7.110000,7.160000,4.919471,9124400
2018-04-04,6.990000,7.050000,6.930000,7.050000,4.843894,9332600
2018-04-05,7.250000,7.550000,7.210000,7.510000,5.159950,14878900
2018-04-06,7.470000,7.550000,7.340000,7.450000,5.118724,10129600
2018-04-09,7.510000,7.550000,7.250000,7.250000,4.981309,11000300
2018-04-10,7.350000,7.450000,7.310000,7.420000,5.098112,8525200
2018-04-11,7.350000,7.540000,7.320000,7.420000,5.098112,8198500
2018-04-12,7.430000,7.730000,7.410000,7.700000,5.290494,13120800
2018-04-13,7.760000,7.860000,7.670000,7.750000,5.324848,11247000
2018-04-16,7.640000,7.730000,7.560000,7.610000,5.228657,10063700
2018-04-17,7.680000,7.900000,7.660000,7.830000,5.379813,9552800
2018-04-18,7.940000,8.240000,7.940000,8.170000,5.613421,19828500
